,,,,,,,,,,,,,
,Supplier Outreach CRM,,,,,,,,,,,,
,Total Suppliers,Closed,Pending Reply,,,,,,,,,,
,100,0,2,,,,,,,,,,
,,,,,,,,,,,,,
,Suppliers/Brands,Niche,Best Seller,Rank,Supplier URL,Main Contact,Main Email,Phone,,Apply Online,Status,Next Step,Notes
,ClearSpan,"Fabric, Metal & Hybrid Buildings",Greenhouses,,https://www.clearspan.com/,,trussinquiry@clearspan.com,(866) 643-1010,,,Not Contacted,Find Contact,
,HomeStead Implements,Tractors & Attachments,,Gold,https://www.homesteadimplements.com/,,,833.625.0635,,https://www.homesteadimplements.com/become-a-dealer,Not Contacted,Find Contact,
,Ignite Attatchments,Tractors & Attachments,,Gold,https://igniteattachments.com/,,support@igniteattachments.com,888-232-1988,,https://igniteattachments.com/become-a-reseller,Not Contacted,Find Contact,
,Fleming Agr,Agricultural Attachments Trucks,,Bronze,https://www.fleming-agri.com/catalogue-categories/agricultural/,,info@fleming-agri.com, +44 (0)28 7134 2637,,,Not Contacted,Find Contact,I think they are from ireland
,Solis,Tractors & Attachments,,Silver,https://solistractorusa.com/index.php,,"Sales Queries: sales@solistractors.com
After Sales Queries: service@solistractors.com
Spare Parts Queries: spare.parts@solistractors.com","Mobile: 762-391-7120
Office: 706-784-4349",,https://solistractorusa.com/content/sportsman/becomeadealer.php,Not Contacted,Find Contact,
,Granit Parts,Agricultural technology,,Silver,https://www.granit-parts.us/,,karriere@granit-parts.com,800 548 6633,,,Not Contacted,Find Contact,
,Maple Machinery,Agricultural Machinery Part,,Bronze,https://maple-machinery.com/agricultural-machinery/,,sales@maple-machinery.com,0086-19858305627,,,Not Contacted,Find Contact,They from china
,New Holland,Agricultural Equipment,Tractors,Gold,https://agriculture.newholland.com/en-us/nar,,,,,https://agriculture.newholland.com/en-us/nar/new-holland-world/become-a-dealer,Not Contacted,Find Contact,
,STIHL,"Mowing, Landscaping and Sawing",,Silver,https://www.stihlusa.com/en,,,,,https://support.stihl.com/en-us/write-email/?_gl=1*uwnkjb*_gcl_au*MTgxMTEzNjA1MC4xNzgzODk3NTc4*FPAU*MTgxMTEzNjA1MC4xNzgzODk3NTc4,Not Contacted,Find Contact,"NO email & phone, just contact form (not dealer form)"
,GrassHopper Mowers,Mowing,Mowers,Gold,https://www.grasshoppermower.com/,,,1-620-345-8621,,https://www.grasshoppermower.com/contact-us,Not Contacted,Find Contact,
,Toro,Landscaping Equipment,,Silver,https://www.toro.com/en,,,952-888-8801,,,Not Contacted,Find Contact,Not a lot of contact info
,Bush Hog,Tractor Attachments,,Silver,https://bushhog.com/,,info@bushhog.com,Tel: (800) 363-6096.,Call back,,Contacted,Find Contact,
,Taylor Pittsburg,Landscaping Attachments for Tractor,,Silver,http://www.taylorpittsburgh.com/index.html,,tpsales@taylorpittsburgh.com,205-487-3202,they sent us an application already ,,Contacted,Find Contact,
,Landoll,Farm Equipment,,Gold,https://landoll.com/,,landco@landoll.com,800-428-5655 785-562-5381,Sent follow up email to warranty@landoll.com,https://landoll.com/dealer-portal-account-request/,Pending Reply,Find Contact,
,GNEDI,Power equipment & farm implements,Log splitters / stump grinders,Gold,https://www.gnedi.com/,Sales Team,sales@gnedi.com,1-855-388-9848,Call back ask for zack smith ,https://www.gnedi.com/become-a-customer,Not Contacted,Send Email,Explicit B2B wholesale and dropship service for eCommerce/resellers. Source: competitor list. Confirm MAP and online-ad rules.
,Unifarm Machinery (Farm-Maxx),Tractor implements & attachments,Rotary tillers / hay equipment,Gold,https://unifarmmachinery.com/,Dealer Sales,sales@unifarm.biz,(252) 291-3997,Sent application waiting to hear back,https://unifarmmachinery.com/become-a-dealer/,Pending Reply,Send Email,True dealer application; U.S. dealer expansion and U.S.-only shipping. Found via Ripping It Outdoors / Beaver Valley.
,Baumalight,"Tractor, skid-steer & excavator attachments",Brush mulchers / stump grinders,Gold,https://baumalight.com/,Dealer Sales,sales@baumalight.com,866-820-7603,fill out application,https://baumalight.com/admin/login,Not Contacted,Send Email,Formal dealer program and dealer portal; high-ticket whole goods. Found via Ripping It Outdoors. Confirm dropship tier and MAP.
,Danuser,Agricultural & industrial attachments,Post drivers / auger systems,Silver,https://www.danuser.com/,Sales Team,sales@danuser.com,(573) 642-2246,,https://www.danuser.com/our-company/contact-us,Not Contacted,Send Email,"Contact form, not a public dealer application. Found via Ripping It Outdoors / Beaver Valley; ask about online-only dealer eligibility."
,HLA Attachments,"Loader, tractor & skid-steer attachments",Grapples / buckets,Silver,https://hlaattachments.com/,Dealer Sales,,(866) 567-4162,,https://hlaattachments.com/contact.php,Not Contacted,Find Contact,Contact form only; dealer portal registration requires an existing account. Found via Ripping It Outdoors.
,Worksaver,Tractor & skid-steer attachments,Grapples / post drivers,Silver,https://www.worksaver.com/,Distributor Sales,,(217) 324-5973,,https://www.worksaver.com/contact-us,Not Contacted,Find Contact,Sells through authorized dealers served by wholesale distributors. Ask for the correct distributor and online eligibility. Found via Beaver Valley.
,Tar River Manufacturing,Tractor implements,Mowers / tillers,Silver,https://tarrivermfg.com/,Sales Team,sales@tarrivermfg.com,252-822-7140,,https://tarrivermfg.com/contact,Not Contacted,Send Email,Dealer network; no public new-dealer application found. Found via Beaver Valley. Ask about direct fulfillment and MAP.
,Maschio Gaspardo North America,Agricultural equipment,Tillage / hay equipment,Silver,https://www.maschiogaspardo.com/en_us/,North America Sales,info@maschiogaspardo.com,+1 563-659-6400,,https://www.maschiogaspardo.com/en_us/contact-us,Not Contacted,Send Email,High-ticket equipment; contact route rather than a U.S. public dealer form. Found via Ripping It Outdoors / Beaver Valley.
,Pequea Machine,Hay equipment & farm trailers,Tedders / spreaders,Silver,https://www.pequea.com/,Dealer Sales,,717-354-4343,,https://www.pequea.com/dealercontact/,Not Contacted,Find Contact,Dealer-led manufacturer; no public new-dealer application found. Found via AG Industrial. Confirm online-only eligibility.
,MK Martin,Farm & tractor attachments,Rotary cutters / snow and grading tools,Silver,https://www.mkmartin.ca/,USA Sales,sales@mkmartin.ca,1-855-664-2752,,https://www.mkmartin.ca/en/contact,Not Contacted,Send Email,Canadian manufacturer with USA sales coverage; contact form only. Found via Beaver Valley. Confirm U.S. dropship terms.
,Bush-Whacker,Rotary cutters & mowers,Flex-wing rotary cutters,Gold,https://bush-whacker.com/,Dealer Sales,,501-945-7550,,https://bush-whacker.com/support/become-a-dealer/,Not Contacted,Find Contact,True dealer application and high-ticket product line. Found via Ripping It Outdoors. Ask about online-only and direct freight.
,Powder River,Livestock handling equipment,Cattle chutes / working systems,Gold,https://powderriver.com/,Dealer Sales,,800-453-5318,,https://powderriver.com/become-a-dealer,Not Contacted,Find Contact,True dealer application; direct shipping is offered when customers lack a nearby dealer. Confirm online retail rules.
,RhinoAg,Agricultural implements,Rotary cutters / flex-wing mowers,Gold,https://www.rhinoag.com/,Wholegoods Sales,,(800) 304-2851,,https://www.rhinoag.com/become-a-dealer/,Not Contacted,Find Contact,Public preliminary dealer application and high-ticket implements. Found via farm-equipment competitor research.
,Tru-Test / Datamars Livestock,Livestock weighing & identification,S3 indicator + HD5T load bars,Gold,https://us.tru-test.com/,Retail Distribution & Dealer Sales,customerservice@datamars.com,(800) 433-3112,,https://us.livestock.datamars.com/contact/product-support,Not Contacted,Send Email,"Contact routing explicitly includes dealer/reseller/online shop. Found via American Grazing Lands; observed bundle price about $2,969."
